rt,stimulus,trial_type,trial_index,plugin_version,time_elapsed,subject_id,study_id,session_id,id,subj,source_file,natural,mobile,volition,potent,sentient,instigation,manipulability
9946,"
        <div style=""font-size: 16px; text-align: center; margin-top: 25px; margin-right: 100px; margin-left: 100px; margin-bottom: 25px;"">
            <img src=""./image/SUSig_2color_Stree_Left.png"" alt=""Stanford Logo"" style=""max-width: 500px; margin-bottom: 20px;"">
            <h3>DESCRIPTION</h3>
            <p>You are invited to participate in a research study on language perception. Its purpose is to help us understand what factors influence sentence construction. In the study, you will read a list of sentences and use rating scales to experess your opinions about the events described by each sentence. Following this, you will have the opportunity to complete an optional demographic survey. Participation in this research is voluntary, and you are free to withdraw your consent at any time.</p>
            <h3>TIME INVOLVEMENT</h3> 
            <p>Your participation will take approximately 15 minutes.</p>
            <h3>PAYMENT</h3> 
            <p>You will be paid at the posted rate.</p>
            <h3>PRIVACY AND CONFIDENTIALITY</h3> 
            <p>The risks associated with this study are minimal. This judgment is based on a large body of experience with the same or similar procedures with people of similar ages, sex, origins, etc. Study data will be stored securely, in compliance with Stanford University standards, minimizing the risk of confidentiality breach. Your individual privacy will be maintained during the research and in all published and written data resulting from the study.</p>
            <h3>CONTACT INFORMATION</h3>
            <p>If you have any questions, concerns or complaints about this research study, its procedures, risks and benefits, you should contact the Protocol Director, Grace Brown, at (616) 498-8188 or grcbrown@stanford.edu. If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at (650) 723-2480 or toll free at 1-866-680-2906, or email at irbnonmed@stanford.edu.</p> 
            <p>Please save or print a copy of this page for your records</p>
            <p>If you agree to participate in this research, please click the 'Continue' button.</p>
        </div>
    ",html-button-response,0,2.1.0,9968,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,,,0c9wyq2180.csv,,,,,,,
112803,"
    <div class=""gen_ins""; style=""font-size: 16px; text-align: center; margin-top: 25px; margin-right: 100px; margin-left: 100px; margin-bottom: 25px;"">
        <p>During this study, you will see a series of sentences, presented one-by-one. Each sentence will describe an event. It will be followed by 7 statements. You must indicate on a scale how much you agree with each statement. Click along the rating scales to respond. There are a total of 26 trials, and this portion of the study is expected to take 15 minutes.</p>
        <p>After you complete this task, you will have the opportunity to complete an optional survey.</p>
        <p>If you understand the instructions and are ready to begin, click ‘Continue’.</p>
    </div>
    ",html-button-response,1,2.1.0,122767,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,,,0c9wyq2180.csv,,,,,,,
58440,,survey-html-form,2,2.1.0,181209,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,22.0,human,0c9wyq2180.csv,6,6,4,5,4,6,4
150752,,survey-html-form,3,2.1.0,331957,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,12.0,human,0c9wyq2180.csv,6,6,5,6,4,6,4
75736,,survey-html-form,4,2.1.0,407691,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,23.0,instrument,0c9wyq2180.csv,5,2,2,4,1,5,4
18069,,survey-html-form,5,2.1.0,425762,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,8.0,human,0c9wyq2180.csv,6,6,5,6,5,6,4
261522,,survey-html-form,6,2.1.0,687275,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,21.0,instrument,0c9wyq2180.csv,4,2,3,4,2,4,5
36235,,survey-html-form,7,2.1.0,723509,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,24.0,human,0c9wyq2180.csv,5,4,4,4,5,5,3
33155,,survey-html-form,8,2.1.0,756664,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,5.0,instrument,0c9wyq2180.csv,6,4,3,2,2,4,6
73335,,survey-html-form,9,2.1.0,829997,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,20.0,human,0c9wyq2180.csv,6,6,5,3,5,5,4
