rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,subject_id,study_id,session_id,id,subj,source_file
9946,"
        <div style=""font-size: 16px; text-align: center; margin-top: 25px; margin-right: 100px; margin-left: 100px; margin-bottom: 25px;"">
            <img src=""./image/SUSig_2color_Stree_Left.png"" alt=""Stanford Logo"" style=""max-width: 500px; margin-bottom: 20px;"">
            <h3>DESCRIPTION</h3>
            <p>You are invited to participate in a research study on language perception. Its purpose is to help us understand what factors influence sentence construction. In the study, you will read a list of sentences and use rating scales to experess your opinions about the events described by each sentence. Following this, you will have the opportunity to complete an optional demographic survey. Participation in this research is voluntary, and you are free to withdraw your consent at any time.</p>
            <h3>TIME INVOLVEMENT</h3> 
            <p>Your participation will take approximately 15 minutes.</p>
            <h3>PAYMENT</h3> 
            <p>You will be paid at the posted rate.</p>
            <h3>PRIVACY AND CONFIDENTIALITY</h3> 
            <p>The risks associated with this study are minimal. This judgment is based on a large body of experience with the same or similar procedures with people of similar ages, sex, origins, etc. Study data will be stored securely, in compliance with Stanford University standards, minimizing the risk of confidentiality breach. Your individual privacy will be maintained during the research and in all published and written data resulting from the study.</p>
            <h3>CONTACT INFORMATION</h3>
            <p>If you have any questions, concerns or complaints about this research study, its procedures, risks and benefits, you should contact the Protocol Director, Grace Brown, at (616) 498-8188 or grcbrown@stanford.edu. If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at (650) 723-2480 or toll free at 1-866-680-2906, or email at irbnonmed@stanford.edu.</p> 
            <p>Please save or print a copy of this page for your records</p>
            <p>If you agree to participate in this research, please click the 'Continue' button.</p>
        </div>
    ",0,html-button-response,0,2.1.0,9968,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,,,0c9wyq2180.csv
112803,"
    <div class=""gen_ins""; style=""font-size: 16px; text-align: center; margin-top: 25px; margin-right: 100px; margin-left: 100px; margin-bottom: 25px;"">
        <p>During this study, you will see a series of sentences, presented one-by-one. Each sentence will describe an event. It will be followed by 7 statements. You must indicate on a scale how much you agree with each statement. Click along the rating scales to respond. There are a total of 26 trials, and this portion of the study is expected to take 15 minutes.</p>
        <p>After you complete this task, you will have the opportunity to complete an optional survey.</p>
        <p>If you understand the instructions and are ready to begin, click ‘Continue’.</p>
    </div>
    ",0,html-button-response,1,2.1.0,122767,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,,,0c9wyq2180.csv
58440,,"{""natural"":""6"",""mobile"":""6"",""manipulability"":""4"",""volition"":""4"",""sentient"":""4"",""potent"":""5"",""instigation"":""6""}",survey-html-form,2,2.1.0,181209,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,22.0,human,0c9wyq2180.csv
150752,,"{""natural"":""6"",""mobile"":""6"",""manipulability"":""4"",""volition"":""5"",""sentient"":""4"",""potent"":""6"",""instigation"":""6""}",survey-html-form,3,2.1.0,331957,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,12.0,human,0c9wyq2180.csv
75736,,"{""natural"":""5"",""mobile"":""2"",""manipulability"":""4"",""volition"":""2"",""sentient"":""1"",""potent"":""4"",""instigation"":""5""}",survey-html-form,4,2.1.0,407691,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,23.0,instrument,0c9wyq2180.csv
18069,,"{""natural"":""6"",""mobile"":""6"",""manipulability"":""4"",""volition"":""5"",""sentient"":""5"",""potent"":""6"",""instigation"":""6""}",survey-html-form,5,2.1.0,425762,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,8.0,human,0c9wyq2180.csv
261522,,"{""natural"":""4"",""mobile"":""2"",""manipulability"":""5"",""volition"":""3"",""sentient"":""2"",""potent"":""4"",""instigation"":""4""}",survey-html-form,6,2.1.0,687275,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,21.0,instrument,0c9wyq2180.csv
36235,,"{""natural"":""5"",""mobile"":""4"",""manipulability"":""3"",""volition"":""4"",""sentient"":""5"",""potent"":""4"",""instigation"":""5""}",survey-html-form,7,2.1.0,723509,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,24.0,human,0c9wyq2180.csv
33155,,"{""natural"":""6"",""mobile"":""4"",""manipulability"":""6"",""volition"":""3"",""sentient"":""2"",""potent"":""2"",""instigation"":""4""}",survey-html-form,8,2.1.0,756664,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,5.0,instrument,0c9wyq2180.csv
73335,,"{""natural"":""6"",""mobile"":""6"",""manipulability"":""4"",""volition"":""5"",""sentient"":""5"",""potent"":""3"",""instigation"":""5""}",survey-html-form,9,2.1.0,829997,66b3e078bef7d6dd6c53e015,6980c7c83940647eb7aa7467,6980cdba78c615fb176b5e25,20.0,human,0c9wyq2180.csv
