rt,stimulus,trial_type,trial_index,plugin_version,time_elapsed,subject_id,study_id,session_id,id,subj,source_file,natural,mobile,volition,potent,sentient,instigation,qualpersist
10080,"
        <div style=""font-size: 16px; text-align: center; margin-top: 25px; margin-right: 100px; margin-left: 100px; margin-bottom: 25px;"">
            <img src=""./image/SUSig_2color_Stree_Left.png"" alt=""Stanford Logo"" style=""max-width: 500px; margin-bottom: 20px;"">
            <h3>DESCRIPTION</h3>
            <p>You are invited to participate in a research study on language perception. Its purpose is to help us understand what factors influence sentence construction. In the study, you will read a list of sentences and use rating scales to experess your opinions about the events described by each sentence. Following this, you will have the opportunity to complete an optional demographic survey. Participation in this research is voluntary, and you are free to withdraw your consent at any time.</p>
            <h3>TIME INVOLVEMENT</h3> 
            <p>Your participation will take approximately 15 minutes.</p>
            <h3>PAYMENT</h3> 
            <p>You will be paid at the posted rate.</p>
            <h3>PRIVACY AND CONFIDENTIALITY</h3> 
            <p>The risks associated with this study are minimal. This judgment is based on a large body of experience with the same or similar procedures with people of similar ages, sex, origins, etc. Study data will be stored securely, in compliance with Stanford University standards, minimizing the risk of confidentiality breach. Your individual privacy will be maintained during the research and in all published and written data resulting from the study.</p>
            <h3>CONTACT INFORMATION</h3>
            <p>If you have any questions, concerns or complaints about this research study, its procedures, risks and benefits, you should contact the Protocol Director, Grace Brown, at (616) 498-8188 or grcbrown@stanford.edu. If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at (650) 723-2480 or toll free at 1-866-680-2906, or email at irbnonmed@stanford.edu.</p> 
            <p>Please save or print a copy of this page for your records</p>
            <p>If you agree to participate in this research, please click the 'Continue' button.</p>
        </div>
    ",html-button-response,0,2.1.0,10087,65f0a43ed1d258cc4c97805d,697959de24a1c569e8bf5a40,697a2b0d19356dae60f7d3b0,,,1ok7rx9pae.csv,,,,,,,
52769,"
    <div class=""gen_ins""; style=""font-size: 16px; text-align: center; margin-top: 25px; margin-right: 100px; margin-left: 100px; margin-bottom: 25px;"">
        <p>During this study, you will see a series of sentences, presented one-by-one. Each sentence will describe an event. It will be followed by 7 statements. You must indicate on a scale how much you agree with each statement. Click along the rating scales to respond. There are a total of 36 trials, and this portion of the study is expected to take 15 minutes.</p>
        <p>After you complete this task, you will have the opportunity to complete an optional survey.</p>
        <p>This is a pilot. There may be bugs. </p>
        <p>If you understand the instructions and are ready to begin, click ‘Continue’.</p>
    </div>
    ",html-button-response,1,2.1.0,62858,65f0a43ed1d258cc4c97805d,697959de24a1c569e8bf5a40,697a2b0d19356dae60f7d3b0,,,1ok7rx9pae.csv,,,,,,,
46135,,survey-html-form,2,2.1.0,108995,65f0a43ed1d258cc4c97805d,697959de24a1c569e8bf5a40,697a2b0d19356dae60f7d3b0,14.0,human,1ok7rx9pae.csv,7,6,3,7,4,6,4
46146,,survey-html-form,3,2.1.0,155144,65f0a43ed1d258cc4c97805d,697959de24a1c569e8bf5a40,697a2b0d19356dae60f7d3b0,7.0,instrument,1ok7rx9pae.csv,2,6,1,1,1,4,6
19214,,survey-html-form,4,2.1.0,174361,65f0a43ed1d258cc4c97805d,697959de24a1c569e8bf5a40,697a2b0d19356dae60f7d3b0,16.0,human,1ok7rx9pae.csv,7,7,2,7,6,7,4
29005,,survey-html-form,5,2.1.0,203368,65f0a43ed1d258cc4c97805d,697959de24a1c569e8bf5a40,697a2b0d19356dae60f7d3b0,5.0,instrument,1ok7rx9pae.csv,5,5,1,1,1,5,4
13509,,survey-html-form,6,2.1.0,216879,65f0a43ed1d258cc4c97805d,697959de24a1c569e8bf5a40,697a2b0d19356dae60f7d3b0,11.0,instrument,1ok7rx9pae.csv,7,7,1,1,1,5,4
34900,,survey-html-form,7,2.1.0,251781,65f0a43ed1d258cc4c97805d,697959de24a1c569e8bf5a40,697a2b0d19356dae60f7d3b0,2.0,human,1ok7rx9pae.csv,6,7,4,6,6,6,3
28224,,survey-html-form,8,2.1.0,280007,65f0a43ed1d258cc4c97805d,697959de24a1c569e8bf5a40,697a2b0d19356dae60f7d3b0,13.0,instrument,1ok7rx9pae.csv,7,7,5,1,1,6,4
16766,,survey-html-form,9,2.1.0,296775,65f0a43ed1d258cc4c97805d,697959de24a1c569e8bf5a40,697a2b0d19356dae60f7d3b0,19.0,instrument,1ok7rx9pae.csv,7,7,4,1,1,5,4
17768,,survey-html-form,10,2.1.0,314545,65f0a43ed1d258cc4c97805d,697959de24a1c569e8bf5a40,697a2b0d19356dae60f7d3b0,18.0,human,1ok7rx9pae.csv,6,7,2,6,6,6,4
61585,,survey-html-form,11,2.1.0,376132,65f0a43ed1d258cc4c97805d,697959de24a1c569e8bf5a40,697a2b0d19356dae60f7d3b0,9.0,instrument,1ok7rx9pae.csv,6,6,1,1,1,6,4
17528,,survey-html-form,12,2.1.0,393663,65f0a43ed1d258cc4c97805d,697959de24a1c569e8bf5a40,697a2b0d19356dae60f7d3b0,12.0,human,1ok7rx9pae.csv,5,6,1,7,7,7,3
17475,,survey-html-form,13,2.1.0,411140,65f0a43ed1d258cc4c97805d,697959de24a1c569e8bf5a40,697a2b0d19356dae60f7d3b0,3.0,instrument,1ok7rx9pae.csv,4,6,5,1,1,5,5
17787,,survey-html-form,14,2.1.0,428929,65f0a43ed1d258cc4c97805d,697959de24a1c569e8bf5a40,697a2b0d19356dae60f7d3b0,26.0,human,1ok7rx9pae.csv,6,6,4,5,6,6,4
18919,,survey-html-form,15,2.1.0,447850,65f0a43ed1d258cc4c97805d,697959de24a1c569e8bf5a40,697a2b0d19356dae60f7d3b0,8.0,human,1ok7rx9pae.csv,6,6,4,5,6,6,4
112999,,survey-html-form,16,2.1.0,560851,65f0a43ed1d258cc4c97805d,697959de24a1c569e8bf5a40,697a2b0d19356dae60f7d3b0,23.0,instrument,1ok7rx9pae.csv,6,3,6,7,1,7,2
18469,,survey-html-form,17,2.1.0,579321,65f0a43ed1d258cc4c97805d,697959de24a1c569e8bf5a40,697a2b0d19356dae60f7d3b0,10.0,human,1ok7rx9pae.csv,6,6,5,7,6,6,2
20196,,survey-html-form,18,2.1.0,599610,65f0a43ed1d258cc4c97805d,697959de24a1c569e8bf5a40,697a2b0d19356dae60f7d3b0,20.0,human,1ok7rx9pae.csv,4,5,5,5,5,6,4
21475,,survey-html-form,19,2.1.0,621087,65f0a43ed1d258cc4c97805d,697959de24a1c569e8bf5a40,697a2b0d19356dae60f7d3b0,24.0,human,1ok7rx9pae.csv,5,5,5,3,5,4,4
18723,,survey-html-form,20,2.1.0,639813,65f0a43ed1d258cc4c97805d,697959de24a1c569e8bf5a40,697a2b0d19356dae60f7d3b0,21.0,instrument,1ok7rx9pae.csv,5,5,5,5,1,4,4
16184,,survey-html-form,21,2.1.0,655999,65f0a43ed1d258cc4c97805d,697959de24a1c569e8bf5a40,697a2b0d19356dae60f7d3b0,15.0,instrument,1ok7rx9pae.csv,3,5,6,4,1,4,4
17073,,survey-html-form,22,2.1.0,673074,65f0a43ed1d258cc4c97805d,697959de24a1c569e8bf5a40,697a2b0d19356dae60f7d3b0,25.0,instrument,1ok7rx9pae.csv,4,5,6,5,1,5,2
16403,,survey-html-form,23,2.1.0,689479,65f0a43ed1d258cc4c97805d,697959de24a1c569e8bf5a40,697a2b0d19356dae60f7d3b0,17.0,instrument,1ok7rx9pae.csv,5,6,5,4,1,5,4
14245,,survey-html-form,24,2.1.0,703727,65f0a43ed1d258cc4c97805d,697959de24a1c569e8bf5a40,697a2b0d19356dae60f7d3b0,22.0,human,1ok7rx9pae.csv,5,6,4,5,6,5,4
16216,,survey-html-form,25,2.1.0,719945,65f0a43ed1d258cc4c97805d,697959de24a1c569e8bf5a40,697a2b0d19356dae60f7d3b0,6.0,human,1ok7rx9pae.csv,4,6,5,6,6,5,4
16302,,survey-html-form,26,2.1.0,736250,65f0a43ed1d258cc4c97805d,697959de24a1c569e8bf5a40,697a2b0d19356dae60f7d3b0,4.0,human,1ok7rx9pae.csv,4,6,5,6,6,6,4
16895,,survey-html-form,27,2.1.0,753147,65f0a43ed1d258cc4c97805d,697959de24a1c569e8bf5a40,697a2b0d19356dae60f7d3b0,1.0,instrument,1ok7rx9pae.csv,4,5,5,5,1,5,4
361168,"
    <div class=""gen_ins""; style=""font-size: 16px; text-align: center; margin-top: 25px; margin-right: 100px; margin-left: 100px; margin-bottom: 25px;"">
        <p>You have completed the rating trials. Next, you will be directed to an optional survey.</p>
        <p>Please answer any of the questions on the next page that you are comfortable answering. After seeing the survey, you will be able to end the experiment.</p>
        <p>Click ‘Continue’ to proceed to the survey.</p>
    </div>
    ",html-button-response,28,2.1.0,1114318,65f0a43ed1d258cc4c97805d,697959de24a1c569e8bf5a40,697a2b0d19356dae60f7d3b0,,,1ok7rx9pae.csv,,,,,,,
69943,,survey,29,3.0.0,1184355,65f0a43ed1d258cc4c97805d,697959de24a1c569e8bf5a40,697a2b0d19356dae60f7d3b0,,,1ok7rx9pae.csv,,,,,,,
